timestamp,netAmount0,netAmount1,closeTick,openTick,lowestTick,highestTick,inAmount0,inAmount1,currentLiquidity
2022-07-20 00:00:00,-1487439808,967797957624897724,202900,202901,202900,202903,5909109073,4794170280625000384,1076128245493070658
2022-07-20 00:01:00,-52020789466,33757739349691661570,202925,202902,202901,202925,2725900000,35525172342109565950,1076109488002639231
2022-07-20 00:02:00,30185968122,-19566417299076995082,202910,202924,202910,202932,48066205079,11620152605065874081,1076156794026794637
2022-07-20 00:03:00,-23339721145,15178956203243696006,202915,202911,202901,202922,44018782190,43711049785045290182,1076156794026794637
2022-07-20 00:04:00,-30798238590,20025268362037233962,202936,202922,202918,202936,11861907537,27721428892128340621,1076109488002639231
2022-07-20 00:05:00,12347497325,-8011047051792712947,202930,202940,202930,202942,27407064208,9797862915824460362,1076109773217315865
2022-07-20 00:06:00,6498855806,-4210509360364426943,202927,202932,202927,202937,20678005118,9220285388414214921,1076109773217315865
2022-07-20 00:07:00,23659120712,-15350965317558444484,202916,202925,202916,202925,23673706731,9468152847412615,1076157079241471271
2022-07-20 00:08:00,-41802724495,27162092547060515290,202936,202917,202917,202936,9353310,27168164865840151286,1076109773217315865
2022-07-20 00:09:00,1954806771,-1269122533930843861,202935,202935,202934,202935,3457671370,977355749786133153,1076109773217315865
2022-07-20 00:10:00,-36914392896,24029448434846298413,202952,202936,202935,202952,1536738143,25027966795783999885,1067169709990432546
2022-07-20 00:11:00,-43039588742,28074362285456161017,202973,202955,202955,202973,8078356313,33336119495012030298,1057161229407865043
2022-07-20 00:12:00,-51456376007,33651183503697874092,202998,202973,202973,203006,25165629836,50104436366825880409,1057895577480642806
2022-07-20 00:13:00,-22425072886,14685646345167301348,203009,202998,202998,203009,1820020273,15876161509490248651,1058226980662295712
2022-07-20 00:14:00,-3366281776,2220663041893951588,203009,203009,202998,203010,22857666183,17173282266602776541,1058226980662295712
2022-07-20 00:15:00,6790567203,-4437777383813818773,203007,203011,203004,203012,17177771869,6804420821885222074,1058226980662295712
2022-07-20 00:16:00,-24456161358,16030916069127274551,203019,203008,203008,203019,1431308963,16967929287171873034,1059405487864120605
2022-07-20 00:17:00,-2086223021,1399444517265594258,203020,203022,203001,203023,47499581741,32501138222256179058,1059423001800826195
2022-07-20 00:18:00,16339460304,-10700947813781237340,203012,203020,203012,203021,18415840452,1361959825434865546,1059397673016645336
2022-07-20 00:19:00,17933056173,-11736391649856883901,203012,203005,203003,203009,17933056173,0,1059397673016645336
2022-07-20 00:20:00,-37813904949,24784842824381439576,203019,203003,203003,203022,972019069,25420695724191147542,1059397673016645336
2022-07-20 00:21:00,-6031737505,3958588954259089602,203025,203024,203024,203025,1588682902,5000000000000000000,1059434943033112741
2022-07-20 00:22:00,16718239456,-10953030402711984920,203017,203026,203017,203026,20310698333,2357633492165942865,1059409442744080288
2022-07-20 00:23:00,9603697182,-6284425544467082273,203012,203020,203012,203020,16979463281,4837022980261152158,1059425673060675112
2022-07-20 00:24:00,45476709896,-29741228371014725413,202990,203012,202990,203012,46888236235,924846471199449367,1057916889049715980
