,glp,btc.b_price,weth_price,wbtc_price,wavax_price,mim_price,usdc_price,usdc.e_price,btc.b_size,btc.b_average,weth_size,weth_average,wbtc_size,wbtc_average,wavax_size,wavax_average,mim_pool,mim_usdg,btc.b_guaranteed,btc.b_pool,btc.b_reserved,btc.b_usdg,weth_guaranteed,weth_pool,weth_reserved,weth_usdg,wbtc_guaranteed,wbtc_pool,wbtc_reserved,wbtc_usdg,usdc.e_pool,usdc.e_reserved,usdc.e_usdg,wavax_guaranteed,wavax_pool,wavax_reserved,wavax_usdg,usdc_pool,usdc_reserved,usdc_usdg,mim_guaranteed,usdc.e_guaranteed,usdc_guaranteed,mim_reserved,interval,aum,glp_price
2024-10-03 00:00:00,24173683611561952644139555,60629.5,2363.43,60629.5,25.33,1.0,1.0,1.0,180506188158744835475000000000000,42380023791338164262660501681201692,3020680884643992897053976776078343,2641347170152345816299250960491333,208540183566100000000000000000000,61783717000000000000000000000000384,32434802731828840476984217900139375,25752018297438692660739326733934,13581775748193328701869,11799968495616707602703,10082480513014870415126153959160000000,30335759356.0,30332917760.0,10084230104999443563900355,120588998062965530767591512778698673,1335276134673299866389,64143475126657611168,3483459665263678917774806,125710518145159776658560582012934149,1504516097.0,352746599.0,881027176242679090851341,50017346382.0,1817614869.0,47080762778853416138077,522212795317272711913181011315650010,69159540084776620221171,26024698696895886104779,1708659571310410589777284,6879569381696.0,12495535383.0,6854145634494453638057720,0,0,0,0,1537070762133703.0,22575056334106474278326085026769272832,0.9338691072844655
2024-10-03 00:01:00,24173683611561952644139555,60629.5,2363.43,60629.5,25.33,1.0,1.0,1.0,180506188158744835475000000000000,42380023791338164262660501681201692,3020680884643992897053976776078343,2641347170152345816299250960491333,208540183566100000000000000000000,61783717000000000000000000000000384,32434802731828840476984217900139375,25752018297438692660739326733934,13581775748193328701869,11799968495616707602703,10082480513014870415126153959160000000,30335759356.0,30332917760.0,10084230104999443563900355,120588998062965530767591512778698673,1335276134673299866389,64143475126657611168,3483459665263678917774806,125710518145159776658560582012934149,1504516097.0,352746599.0,881027176242679090851341,50017346382.0,1817614869.0,47080762778853416138077,522212795317272711913181011315650010,69159540084776620221171,26024698696895886104779,1708659571310410589777284,6879569381696.0,12495535383.0,6854145634494453638057720,0,0,0,0,1537070762133703.0,22575056334106474278326085026769272832,0.9338691072844655
2024-10-03 00:02:00,24173683611561952644139555,60629.5,2363.43,60629.5,25.33,1.0,1.0,1.0,180506188158744835475000000000000,42380023791338164262660501681201692,3020680884643992897053976776078343,2641347170152345816299250960491333,208540183566100000000000000000000,61783717000000000000000000000000384,32434802731828840476984217900139375,25752018297438692660739326733934,13581775748193328701869,11799968495616707602703,10082480513014870415126153959160000000,30335759356.0,30332917760.0,10084230104999443563900355,120588998062965530767591512778698673,1335276134673299866389,64143475126657611168,3483459665263678917774806,125710518145159776658560582012934149,1504516097.0,352746599.0,881027176242679090851341,50017346382.0,1817614869.0,47080762778853416138077,522212795317272711913181011315650010,69159540084776620221171,26024698696895886104779,1708659571310410589777284,6879569381696.0,12495535383.0,6854145634494453638057720,0,0,0,0,1537070762133703.0,22575056334106474278326085026769272832,0.9338691072844655
2024-10-03 00:03:00,24173683611561952644139555,60636.24,2363.04,60636.24,25.32,1.0,1.0,1.0,180506188158744835475000000000000,42380023791338164262660501681201692,3020680884643992897053976776078343,2641347170152345816299250960491333,208540183566100000000000000000000,61783717000000000000000000000000384,32434802731828840476984217900139375,25752018297438692660739326733934,13581775748193328701869,11799968495616707602703,10082480513014870415126153959160000000,30335759356.0,30332917760.0,10084230104999443563900355,120588998062965530767591512778698673,1335276134673299866389,64143475126657611168,3483459665263678917774806,125710518145159776658560582012934149,1504516097.0,352746599.0,881027176242679090851341,50017346382.0,1817614869.0,47080762778853416138077,522212795317272711913181011315650010,69159540084776620221171,26024698696895886104779,1708659571310410589777284,6879569381696.0,12495535383.0,6854145634494453638057720,0,0,0,0,1537070762133703.0,22575137210324937871514063043553132544,0.9338724529151837
2024-10-03 00:04:00,24173683611561952644139555,60541.521,2358.356,60541.521,25.25,1.0,1.0,1.0,180506188158744835475000000000000,42380023791338164262660501681201692,3020680884643992897053976776078343,2641347170152345816299250960491333,208540183566100000000000000000000,61783717000000000000000000000000384,32434802731828840476984217900139375,25752018297438692660739326733934,13581775748193328701869,11799968495616707602703,10082480513014870415126153959160000000,30335759356.0,30332917760.0,10084230104999443563900355,120588998062965530767591512778698673,1335276134673299866389,64143475126657611168,3483459665263678917774806,125710518145159776658560582012934149,1504516097.0,352746599.0,881027176242679090851341,50017346382.0,1817614869.0,47080762778853416138077,523017591737370556257503369772035461,69159256761391290509439,25045337694067258242417,1708659571310410589777284,6879569381696.0,12495535383.0,6854145634494453638057720,0,0,0,0,1537070762133703.0,22592959961542811889255387430899417088,0.9346097319953711
2024-10-03 00:05:00,24173683611561952644139555,60541.521,2358.356,60541.521,25.25,1.0,1.0,1.0,180506188158744835475000000000000,42380023791338164262660501681201692,3020680884643992897053976776078343,2641347170152345816299250960491333,208540183566100000000000000000000,61783717000000000000000000000000384,32434802731828840476984217900139375,25752018297438692660739326733934,13581775748193328701869,11799968495616707602703,10082480513014870415126153959160000000,30335759356.0,30332917760.0,10084230104999443563900355,120588998062965530767591512778698673,1335276134673299866389,64143475126657611168,3483459665263678917774806,125710518145159776658560582012934149,1504516097.0,352746599.0,881027176242679090851341,50017346382.0,1817614869.0,47080762778853416138077,523017591737370556257503369772035461,69159256761391290509439,25045337694067258242417,1708659571310410589777284,6879569381696.0,12495535383.0,6854145634494453638057720,0,0,0,0,1537070762133703.0,22592959961542811889255387430899417088,0.9346097319953711
2024-10-03 00:06:00,24173683611561952644139555,60540.34,2356.5,60540.34,25.243,1.0,1.0,1.0,180506188158744835475000000000000,42380023791338164262660501681201692,3020680884643992897053976776078343,2641347170152345816299250960491333,208540183566100000000000000000000,61783717000000000000000000000000384,32434802731828840476984217900139375,25752018297438692660739326733934,13581775748193328701869,11799968495616707602703,10082480513014870415126153959160000000,30335759356.0,30332917760.0,10084230104999443563900355,120588998062965530767591512778698673,1335276134673299866389,64143475126657611168,3483459665263678917774806,125710518145159776658560582012934149,1504516097.0,352746599.0,881027176242679090851341,50017346382.0,1817614869.0,47080762778853416138077,522872815317272711913181011315650010,69164442902668585106462,25253513073259496001968,1708659571310410589777284,6879569381696.0,12495535383.0,6854145634494453638057720,0,0,0,0,1537070762133703.0,22585184347882793704850816571166162944,0.9342880758595102
2024-10-03 00:07:00,24173683611561952644139555,60650.72,2362.714,60650.72,25.327,1.0,1.0,1.0,180506188158744835475000000000000,42380023791338164262660501681201692,3020680884643992897053976776078343,2641347170152345816299250960491333,208540183566100000000000000000000,61783717000000000000000000000000384,32434802731828840476984217900139375,25752018297438692660739326733934,13581775748193328701869,11799968495616707602703,10082480513014870415126153959160000000,30335759356.0,30332917760.0,10084230104999443563900355,120588998062965530767591512778698673,1335276134673299866389,64143475126657611168,3483459665263678917774806,125710518145159776658560582012934149,1504516097.0,352746599.0,881027176242679090851341,50017346382.0,1817614869.0,47080762778853416138077,522872815317272711913181011315650010,69164442902668585106462,25253513073259496001968,1708659571310410589777284,6879569381696.0,12495535383.0,6854145634494453638057720,0,0,0,0,1537070762133703.0,22594088917526788396972603255354818560,0.9346564338552167
2024-10-03 00:08:00,24173683611561952644139555,60650.72,2362.714,60650.72,25.327,1.0,1.0,1.0,180506188158744835475000000000000,42380023791338164262660501681201692,3020680884643992897053976776078343,2641347170152345816299250960491333,208540183566100000000000000000000,61783717000000000000000000000000384,32434802731828840476984217900139375,25752018297438692660739326733934,13581775748193328701869,11799968495616707602703,10082480513014870415126153959160000000,30335759356.0,30332917760.0,10084230104999443563900355,120588998062965530767591512778698673,1335276134673299866389,64143475126657611168,3483459665263678917774806,125710518145159776658560582012934149,1504516097.0,352746599.0,881027176242679090851341,50017346382.0,1817614869.0,47080762778853416138077,522872815317272711913181011315650010,69164442902668585106462,25253513073259496001968,1708659571310410589777284,6879569381696.0,12495535383.0,6854145634494453638057720,0,0,0,0,1537070762133703.0,22594088917526788396972603255354818560,0.9346564338552167
2024-10-03 00:09:00,24173683611561952644139555,60650.72,2362.714,60650.72,25.327,1.0,1.0,1.0,180506188158744835475000000000000,42380023791338164262660501681201692,3020680884643992897053976776078343,2641347170152345816299250960491333,208540183566100000000000000000000,61783717000000000000000000000000384,32434802731828840476984217900139375,25752018297438692660739326733934,13581775748193328701869,11799968495616707602703,10082480513014870415126153959160000000,30335759356.0,30332917760.0,10084230104999443563900355,120588998062965530767591512778698673,1335276134673299866389,64143475126657611168,3483459665263678917774806,125710518145159776658560582012934149,1504516097.0,352746599.0,881027176242679090851341,50017346382.0,1817614869.0,47080762778853416138077,522872815317272711913181011315650010,69164442902668585106462,25253513073259496001968,1708659571310410589777284,6879569381696.0,12495535383.0,6854145634494453638057720,0,0,0,0,1537070762133703.0,22594088917526788396972603255354818560,0.9346564338552167
