timestamp,netAmount0,netAmount1,closeTick,openTick,lowestTick,highestTick,inAmount0,inAmount1,currentLiquidity
2023-08-14 00:01:00,-11352392947,6174713530384661323,201149,201147,201147,201149,0,6174713530384661323,2402545990706448841
2023-08-14 00:02:00,-132621532,72142609379231871,201149,201149,201149,201149,0,72142609379231871,2402545990706448841
2023-08-14 00:03:00,0,0,201149,201149,201149,201149,0,0,2402545990706448841
2023-08-14 00:04:00,-16176596,8799653573719330,201149,201149,201149,201149,0,8799653573719330,2402545990706448841
2023-08-14 00:05:00,7541624230,-4098160743305772611,201149,201149,201148,201149,7541624230,0,2402545990706448841
2023-08-14 00:06:00,15718282455,-8539647820597509152,201145,201148,201145,201148,15752738045,18735425996962709,2402545990706448841
2023-08-14 00:07:00,-150853967,82027862122560007,201145,201145,201145,201145,0,82027862122560007,2402545990706448841
2023-08-14 00:08:00,-8876671,4826757531936734,201145,201145,201145,201145,0,4826757531936734,2402545990706448841
2023-08-14 00:09:00,0,0,201145,201145,201145,201145,0,0,2402545990706448841
2023-08-14 00:10:00,0,0,201145,201145,201145,201145,0,0,2402545990706448841
2023-08-14 00:11:00,3997511442,-2171291041777540081,201144,201145,201144,201145,4234786451,129019638222459919,2402545990706448841
2023-08-14 00:12:00,12375193423,-6721050594894363714,201142,201144,201142,201144,12375193423,0,2402664786732323944
2023-08-14 00:13:00,0,0,201142,201142,201142,201142,0,0,2402664786732323944
2023-08-14 00:14:00,0,0,201142,201142,201142,201142,0,0,2402664786732323944
2023-08-14 00:15:00,1700000000,-923155401008491002,201141,201141,201141,201141,1700000000,0,2402664786732323944
2023-08-14 00:16:00,0,0,201141,201141,201141,201141,0,0,2402664786732323944
2023-08-14 00:17:00,0,0,201141,201141,201141,201141,0,0,2402664786732323944
2023-08-14 00:18:00,0,0,201141,201141,201141,201141,0,0,2402664786732323944
2023-08-14 00:19:00,0,0,201141,201141,201141,201141,0,0,2402664786732323944
2023-08-14 00:20:00,1214418,-659457242421152,201141,201141,201141,201141,1214418,0,2402664786732323944
2023-08-14 00:21:00,65606071,-35625623297550644,201141,201141,201141,201141,65606071,0,2402664786732323944
2023-08-14 00:22:00,0,0,201141,201141,201141,201141,0,0,2402664786732323944
2023-08-14 00:23:00,9991364,-5425539094958745,201141,201141,201141,201141,9991364,0,2402664786732323944
2023-08-14 00:24:00,0,0,201141,201141,201141,201141,0,0,2402664786732323944
2023-08-14 00:25:00,1470000000,-798232180543054921,201141,201141,201141,201141,1470000000,0,2402664786732323944
2023-08-14 00:26:00,19359431163,-10510636768262596748,201138,201140,201138,201140,19387219501,15100122925207496,3995498886577443338
2023-08-14 00:27:00,2033850,-1104084905790353,201138,201138,201138,201138,2033850,0,3995498886577443338
2023-08-14 00:28:00,11043985,-5995278241369581,201138,201138,201138,201138,11043985,0,4000660828252024674
2023-08-14 00:29:00,0,0,201138,201138,201138,201138,0,0,4000660828252024674
2023-08-14 00:30:00,0,0,201138,201138,201138,201138,0,0,4000660828252024674
2023-08-14 00:31:00,1761312,-956136092754284,201138,201138,201138,201138,1761312,0,4000660828252024674
2023-08-14 00:32:00,0,0,201138,201138,201138,201138,0,0,4000660828252024674
2023-08-14 00:33:00,0,0,201138,201138,201138,201138,0,0,4000660828252024674
2023-08-14 00:34:00,0,0,201138,201138,201138,201138,0,0,4000660828252024674
2023-08-14 00:35:00,0,0,201138,201138,201138,201138,0,0,4000660828252024674
2023-08-14 00:36:00,0,0,201138,201138,201138,201138,0,0,4000660828252024674
2023-08-14 00:37:00,10000000,-5428545391812806,201138,201138,201138,201138,10000000,0,4000660828252024674
2023-08-14 00:38:00,-10362736503,5631427850000000000,201139,201138,201138,201139,0,5631427850000000000,4000660828252024674
2023-08-14 00:39:00,-132250000,71873087515659243,201139,201139,201139,201139,0,71873087515659243,4000660828252024674
